tag,scenario,scenario_label,cancer,fold,regime,ibs,delta_ibs,n_train,seer_n
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ACC,mean,seer_01pct,0.045749983726759015,-0.08444364093672085,81906.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ACC,mean,seer_05pct,0.048466247639482,-0.08172737702399786,365661.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ACC,mean,seer_100pct,0.07597586747138677,-0.0542177571920931,7104810.5,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ACC,mean,seer_10pct,0.052179070976595535,-0.07801455368688433,720352.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ACC,mean,seer_20pct,0.05719016241756618,-0.07300346224591368,1429739.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ACC,mean,seer_50pct,0.06588727014636968,-0.06430635451711018,3557888.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ACC,mean,seer_n001k_00pct,0.10570011765031637,-0.024493507013163496,11967.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ACC,mean,seer_n003k_00pct,0.061579565036705516,-0.06861405962677435,13969.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ACC,mean,seer_n010k_00pct,0.05562991168335276,-0.0745637129801271,20967.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ACC,mean,seer_n035k_00pct,0.04946927093297655,-0.08072435373050331,46438.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BLCA,mean,seer_01pct,0.040007153431637146,-0.14769057788987366,81842.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BLCA,mean,seer_05pct,0.04032786748072177,-0.14736986384078904,365597.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BLCA,mean,seer_10pct,0.03835408968496457,-0.14934364163654626,720288.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BLCA,mean,seer_20pct,0.04396832676649787,-0.14372940455501296,1429675.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BLCA,mean,seer_50pct,0.04500006625711367,-0.14269766506439716,3557824.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BLCA,mean,seer_n001k_00pct,0.09233370546365999,-0.09536402585785084,11903.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BLCA,mean,seer_n003k_00pct,0.07192734992931221,-0.11577038139219861,13905.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BLCA,mean,seer_n010k_00pct,0.04663264451515216,-0.14106508680635865,20903.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BLCA,mean,seer_n035k_00pct,0.044391398668337995,-0.14330633265317283,46374.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BRCA,mean,seer_01pct,0.04048737664731313,-0.11653273328788855,81707.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BRCA,mean,seer_05pct,0.038820579335725615,-0.11819953059947608,365462.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BRCA,mean,seer_100pct,0.03715812899967351,-0.11986198093552818,7104612.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BRCA,mean,seer_10pct,0.03703987683318851,-0.11998023310201317,720153.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BRCA,mean,seer_20pct,0.03460645414659154,-0.12241365578861015,1429540.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BRCA,mean,seer_50pct,0.04015928962489703,-0.11686082031030465,3557689.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BRCA,mean,seer_n001k_00pct,0.08810463138392426,-0.06891547855127743,11768.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BRCA,mean,seer_n003k_00pct,0.06752100496264765,-0.08949910497255403,13770.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BRCA,mean,seer_n010k_00pct,0.042099814800697855,-0.11492029513450383,20768.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,BRCA,mean,seer_n035k_00pct,0.03592657574396414,-0.12109353419123754,46239.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CESC,mean,seer_01pct,0.050720665483136695,-0.15760823397641827,81865.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CESC,mean,seer_05pct,0.04761909205013005,-0.16070980740942492,365620.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CESC,mean,seer_100pct,0.06295978123142543,-0.14536911822812953,7104770.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CESC,mean,seer_10pct,0.05008120910515977,-0.15824769035439518,720311.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CESC,mean,seer_20pct,0.05663920977543829,-0.15168968968411667,1429698.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CESC,mean,seer_50pct,0.0695736022404632,-0.13875529721909174,3557847.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CESC,mean,seer_n001k_00pct,0.12600101838593894,-0.08232788107361602,11926.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CESC,mean,seer_n003k_00pct,0.08467425689838035,-0.12365464256117462,13928.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CESC,mean,seer_n010k_00pct,0.06375551073358188,-0.14457338872597308,20926.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CESC,mean,seer_n035k_00pct,0.05589567102525941,-0.15243322843429555,46397.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CHOL,mean,seer_01pct,0.03547278514045992,-0.26196043484120013,81913.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CHOL,mean,seer_05pct,0.03618504552513971,-0.2612481744565204,365668.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CHOL,mean,seer_100pct,0.04067055087834341,-0.25676266910331663,7104818.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CHOL,mean,seer_10pct,0.03612276240550293,-0.2613104575761571,720359.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CHOL,mean,seer_20pct,0.040850574068949194,-0.25658264591271085,1429746.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CHOL,mean,seer_50pct,0.04245243518781506,-0.254980784793845,3557895.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CHOL,mean,seer_n001k_00pct,0.041911516262956736,-0.2555217037187033,11974.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CHOL,mean,seer_n003k_00pct,0.0425775552171802,-0.25485566476447985,13976.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CHOL,mean,seer_n010k_00pct,0.041773310597889066,-0.255659909383771,20974.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,CHOL,mean,seer_n035k_00pct,0.03591580986739827,-0.2615174101142618,45974.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,COAD,mean,seer_01pct,0.02765675684186298,-0.17023389400892236,81836.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,COAD,mean,seer_05pct,0.02513937940910017,-0.17275127144168517,365591.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,COAD,mean,seer_100pct,0.02774694107547217,-0.17014370977531315,7104741.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,COAD,mean,seer_10pct,0.025732052243852173,-0.17215859860693317,720282.0,nan
